更新时间,#genre#
20251220-03-13-04,url


blacklist,#genre#
CCTV1,http://hlsztemgsplive.miguvideo.com:8080/wd_r2/cctv/cctv1hd/600/index.m3u8?msisdn=2025122008020333b58bdbd780404a9d7a4764343ed913&mdspid=&spid=699004&netType=0&sid=2201057821&pid=2028597139&timestamp=20251220080203&Channel_ID=0116_2600037000-99000-200300220100002&ProgramID=608807420&ParentNodeID=-99&assertID=2201057821&client_ip=218.28.233.106&SecurityKey=20251220080203&promotionId=&mvid=2201057821&mcid=500020&playurlVersion=WX-A1-8.12.1-RELEASE&userid=&jmhm=&videocodec=h264&appCode=miguvideo_android&bean=mgspad&tid=android&conFee=0&encrypt=d5efd2c45a079377de4fb978166c1e8b&sv=10004&ct=android
CCTV1,http://115.171.216.99:4000/rtp/225.1.8.210:8068
CCTV1,http://123.191.15.105:1111/rtp/232.0.0.27:1234
CCTV1,http://115.171.216.99:4000/rtp/225.1.8.194:4120
CCTV1,http://115.171.216.99:4000/rtp/225.1.8.81:8176
CCTV1,http://115.171.216.99:4000/rtp/225.1.8.53:8060
CCTV1,http://115.171.216.99:4000/rtp/225.1.8.33:8002
CCTV1,http://115.171.216.99:4000/rtp/225.1.8.1:8008
CCTV1,http://115.171.216.99:4000/rtp/225.1.8.126:8002
CCTV1,http://223.167.230.129:4022/rtp/239.45.3.145:5140
CCTV1,http://116.235.57.22:4022/rtp/239.45.3.145:5140
CCTV1,P2p://generationnexxxt.com:19806/f774c5f8f72d4e209390429188acd251
CCTV1,http://223.167.230.5:4022/rtp/239.45.3.145:5140
CCTV1,http://go.bkpcp.top/mg/cctv1
CCTV1,http://8.138.7.223/tv/migu3.php?id=cctv1
CCTV2,http://hlsztemgsplive.miguvideo.com:8080/wd_r2/cctv/cctv2hd/600/index.m3u8?msisdn=20251220080203202c22ba21094753adce62a6a528de0e&mdspid=&spid=699004&netType=0&sid=5500346945&pid=2028597139&timestamp=20251220080203&Channel_ID=0116_2600037000-99000-200300220100002&ProgramID=631780532&ParentNodeID=-99&assertID=5500346945&client_ip=218.28.233.106&SecurityKey=20251220080203&promotionId=&mvid=5101064231&mcid=500020&playurlVersion=WX-A1-8.12.1-RELEASE&userid=&jmhm=&videocodec=h264&appCode=miguvideo_android&bean=mgspad&tid=android&conFee=0&encrypt=7cdc9b23fdff9a1d85e050cc6594e4f5&sv=10004&ct=android
CCTV2,http://223.167.230.5:4022/rtp/239.45.3.208:5140
CCTV2,http://123.191.15.105:1111/rtp/232.0.0.135:1234
CCTV2,http://223.167.230.129:4022/rtp/239.45.3.208:5140
CCTV2,http://115.171.216.99:4000/rtp/225.1.8.2:8084
CCTV1,http://61.159.135.98:4022/rtp/238.255.2.91:5999
CCTV1,http://61.159.134.218:4022/rtp/238.255.2.91:5999
CCTV1,http://106.59.2.71:55555/rtp/239.200.200.14:8852
CCTV2,http://116.235.57.22:4022/rtp/239.45.3.208:5140
CCTV2,http://go.bkpcp.top/mg/cctv2
CCTV2,P2p://generationnexxxt.com:19806/0ac8d786a0014639925eb3fd8aba2e4a
CCTV2,P2p://generationnexxxt.com:19806/69d668a50a2c4d55bc1adfbdf2f29bf7
CCTV1,http://114.254.35.130:18888/rtp/239.3.1.129:8008
CCTV1,http://106.59.2.72:55555/rtp/239.200.200.2:8080
CCTV1,http://106.59.2.72:55555/rtp/239.200.201.45:8800
CCTV2,http://8.138.7.223/tv/migu3.php?id=cctv2
CCTV1,http://114.107.45.103:8188/rtp/238.1.78.166:7200
CCTV1,http://111.227.194.26:4022/rtp/239.254.200.45:8008
CCTV1,http://171.113.208.108:4022/rtp/239.254.96.96:8550
CCTV1,http://106.59.2.207:55555/rtp/239.200.200.2:8080
CCTV1,http://106.59.2.207:55555/rtp/239.200.201.45:8800
CCTV1,http://106.59.2.207:55555/rtp/239.200.200.117:8712
CCTV1,http://106.59.2.72:55555/rtp/239.200.200.117:8712
CCTV3,http://hlsztemgsplive.miguvideo.com:8080/wd_r2/2018/ocn/cctv3hd/1000/index.m3u8?msisdn=2025122008020357717a8b93b941eebb27a5f8ad0a2cfd&mdspid=&spid=699004&netType=0&sid=5500212864&pid=2028597139&timestamp=20251220080203&Channel_ID=0116_2600037000-99000-200300220100002&ProgramID=624878271&ParentNodeID=-99&assertID=5500212864&client_ip=218.28.233.106&SecurityKey=20251220080203&promotionId=&mvid=5100001683&mcid=500020&playurlVersion=WX-A1-8.12.1-RELEASE&userid=&jmhm=&videocodec=h264&appCode=miguvideo_android&bean=mgspad&tid=android&conFee=0&encrypt=1894a0f9bd6d59534396255cad24be89&sv=10004&ct=android
CCTV2,http://61.159.135.98:4022/rtp/238.255.2.11:5999
CCTV2,http://106.83.118.68:8188/rtp/235.254.198.52:1484
CCTV1,http://a.402089.xyz:4022/rtp/233.50.200.99:5140
CCTV2,http://61.159.134.218:4022/rtp/238.255.2.11:5999
CCTV3,http://123.191.15.105:1111/rtp/232.0.0.170:1234
CCTV3,http://223.167.230.129:4022/rtp/239.45.1.68:5140
CCTV3,http://115.171.216.99:4000/rtp/225.1.8.88:8000
CCTV3,http://116.235.57.22:4022/rtp/239.45.1.68:5140
CCTV3,http://223.167.230.5:4022/rtp/239.45.1.68:5140
CCTV3,P2p://generationnexxxt.com:19806/93e75aa9188847d48506d838ef24d3f5
CCTV3,P2p://generationnexxxt.com:19806/fa74ead583154a9692291aeb75eb5bb2
CCTV3,http://8.138.7.223/tv/migu3.php?id=cctv3
CCTV3,http://go.bkpcp.top/mg/cctv3
CCTV2,http://nn.7x9d.cn/mk.php?ip=119.55.86.82:8014&id=cctv2
CCTV2,http://114.254.35.130:18888/rtp/239.3.1.60:8084
CCTV2,http://171.113.208.108:4022/rtp/239.69.1.102:10250
CCTV2,http://114.107.45.103:8188/rtp/238.1.78.235:7752
CCTV2,http://111.227.194.26:4022/rtp/239.254.200.158:6000
CCTV2,http://124.64.223.204:8686/rtp/239.3.1.60:8084
CCTV2,http://144.255.32.94:8288/rtp/239.21.1.2:5002
CCTV2,http://39.164.160.249:9901/tsfile/live/0002_1.m3u8
CCTV3,http://61.159.135.98:4022/rtp/238.255.2.133:5999
CCTV4,http://223.167.230.5:4022/rtp/239.45.0.2:5140
CCTV4,http://hlsztemgsplive.miguvideo.com:8080/wd_r2/cctv/cctv4hd/600/index.m3u8?msisdn=20251220080203e07e8b44fd854001877dfba964ce0d63&mdspid=&spid=699004&netType=0&sid=5500346947&pid=2028597139&timestamp=20251220080203&Channel_ID=0116_2600037000-99000-200300220100002&ProgramID=631780421&ParentNodeID=-99&assertID=5500346947&client_ip=218.28.233.106&SecurityKey=20251220080203&promotionId=&mvid=5101064235&mcid=500020&playurlVersion=WX-A1-8.12.1-RELEASE&userid=&jmhm=&videocodec=h264&appCode=miguvideo_android&bean=mgspad&tid=android&conFee=0&encrypt=046b2fcc6a67159fa89db50573265162&sv=10004&ct=android
CCTV3,http://61.159.134.218:4022/rtp/238.255.2.133:5999
CCTV4,http://hlsztemgsplive.miguvideo.com:8080/migu/kailu/20200324/cctv4meihd/50/index.m3u8?msisdn=20251220080205fa9ce05339144fdf8f7c62d69cf401a2&mdspid=&spid=699004&netType=0&sid=2200179344&pid=2028597139&timestamp=20251220080205&Channel_ID=0116_2600037000-99000-200300220100002&ProgramID=608807416&ParentNodeID=-99&assertID=2200179344&client_ip=218.28.233.106&SecurityKey=20251220080205&promotionId=&mvid=2200179344&mcid=500020&playurlVersion=WX-A1-8.12.1-RELEASE&userid=&jmhm=&videocodec=h264&appCode=miguvideo_android&bean=mgspad&tid=android&conFee=0&encrypt=8685470d9f718ff5340dffadc225d832&sv=10004&ct=android
CCTV4,http://hlsztemgsplive.miguvideo.com:8080/migu/kailu/20200324/cctv4ouhd/50/index.m3u8?msisdn=20251220080205ea4b9c9b2c1d4be0b3d64cd2d62d7899&mdspid=&spid=699004&netType=0&sid=2200179315&pid=2028597139&timestamp=20251220080205&Channel_ID=0116_2600037000-99000-200300220100002&ProgramID=608807419&ParentNodeID=-99&assertID=2200179315&client_ip=218.28.233.106&SecurityKey=20251220080205&promotionId=&mvid=2200179315&mcid=500020&playurlVersion=WX-A1-8.12.1-RELEASE&userid=&jmhm=&videocodec=h264&appCode=miguvideo_android&bean=mgspad&tid=android&conFee=0&encrypt=c19a8255fda0990cc07b435b9aaa5cbe&sv=10004&ct=android
CCTV3,http://112.46.85.60:8009/hls/3/index.m3u8
CCTV4,http://8.138.7.223/tv/migu3.php?id=cctv4
CCTV4,http://8.138.7.223/tv/migu3.php?id=cctv4o
CCTV4,http://8.138.7.223/tv/migu3.php?id=cctv4a
CCTV4,http://223.167.230.129:4022/rtp/239.45.0.2:5140
CCTV3,https://stream1.freetv.fun/cctv3-35.ctv
CCTV4,http://123.191.15.105:1111/rtp/232.0.0.201:1234
CCTV4,http://115.171.216.99:4000/rtp/225.1.8.4:8092
CCTV4,http://116.235.57.22:4022/rtp/239.45.0.2:5140
CCTV4,http://123.191.15.105:1111/rtp/232.0.0.53:1234
CCTV3,http://114.254.35.130:18888/rtp/239.3.1.172:8001
CCTV4,http://123.191.15.105:1111/rtp/232.0.0.59:1234
CCTV3,http://171.113.208.108:4022/rtp/239.69.1.122:10370
CCTV3,http://114.107.45.103:8188/rtp/238.1.78.170:7232
CCTV3,http://111.227.194.26:4022/rtp/239.254.201.152:7205
CCTV3,http://124.64.223.204:8686/rtp/239.3.1.172:8001
CCTV3,http://a.402089.xyz:4022/rtp/233.50.200.107:5140
CCTV3,http://61.184.46.85:9901/tsfile/live/0003_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV4,P2p://generationnexxxt.com:19806/60ab606c55e54f168f9f156a500ce451
CCTV4,http://go.bkpcp.top/mg/cctv4
CCTV4,http://61.159.135.98:4022/rtp/238.255.2.92:5999
CCTV4,http://61.159.134.218:4022/rtp/238.255.2.92:5999
CCTV4,http://61.159.135.98:4022/rtp/238.255.2.213:5999
CCTV4,http://61.159.134.218:4022/rtp/238.255.2.213:5999
CCTV4,http://61.159.135.98:4022/rtp/238.255.2.214:5999
CCTV4,http://61.159.134.218:4022/rtp/238.255.2.214:5999
CCTV5,http://hlsztemgsplive.miguvideo.com:8080/wd_r2/cctv/cctv5hdnew/600/index.m3u8?msisdn=20251220080204dc4f06c2b6f24582963be60bc7684f7d&mdspid=&spid=699004&netType=0&sid=5500516171&pid=2028597139&timestamp=20251220080204&Channel_ID=0116_2600037000-99000-200300220100002&ProgramID=641886683&ParentNodeID=-99&assertID=5500516171&client_ip=218.28.233.106&SecurityKey=20251220080204&promotionId=&mvid=5102048712&mcid=500020&playurlVersion=WX-A1-8.12.1-RELEASE&userid=&jmhm=&videocodec=h264&appCode=miguvideo_android&bean=mgspad&tid=android&conFee=0&encrypt=3829e1c64a0e59815b9d64718f5cdb0a&sv=10004&ct=android
CCTV5,http://223.167.230.5:4022/rtp/239.45.1.69:5140
CCTV5,http://123.191.15.105:1111/rtp/232.0.0.171:1234
CCTV5,http://223.167.230.129:4022/rtp/239.45.1.69:5140
CCTV5,http://116.235.57.22:4022/rtp/239.45.1.69:5140
CCTV5,http://8.138.7.223/tv/migu3.php?id=cctv5
CCTV5,http://115.171.216.99:4000/rtp/225.1.8.89:8000
CCTV4,http://114.254.35.130:18888/rtp/239.3.1.105:8092
CCTV4,http://171.113.208.108:4022/rtp/239.69.1.138:10466
CCTV4,http://114.107.45.103:8188/rtp/238.1.78.236:7760
CCTV4,http://111.227.194.26:4022/rtp/239.254.200.190:6307
CCTV4,http://114.254.35.130:18888/rtp/239.3.1.213:4220
CCTV4,http://106.59.2.72:55555/rtp/239.200.201.180:4220
CCTV5,P2p://generationnexxxt.com:19806/98957b0750c14f18abda694462ab9904
CCTV5,P2p://generationnexxxt.com:19806/7b1fada6a2d74be0a549cc767b1f6d90
CCTV4,http://106.59.2.207:55555/rtp/239.200.201.180:4220
CCTV4,http://114.254.35.130:18888/rtp/239.3.1.214:4220
CCTV4,http://111.227.194.26:4022/rtp/239.254.201.205:4220
CCTV4,http://106.59.2.72:55555/rtp/239.200.201.181:4220
CCTV5,http://go.bkpcp.top/mg/cctv5
CCTV4,http://171.113.208.108:4022/rtp/239.69.1.231:11028
CCTV4,http://106.59.2.207:55555/rtp/239.200.201.181:4220
CCTV4,http://111.227.194.26:4022/rtp/239.254.201.206:4220
CCTV4,http://171.113.208.108:4022/rtp/239.69.1.232:11034
CCTV4,http://a.402089.xyz:4022/rtp/233.50.200.101:5140
CCTV6,http://hlsztemgsplive.miguvideo.com:8080/wd_r2/2018/ocn/cctv6hd/1000/index.m3u8?msisdn=20251220080204e2ac24c144c04d80a24c478ca0e4406a&mdspid=&spid=699004&netType=0&sid=5500212872&pid=2028597139&timestamp=20251220080204&Channel_ID=0116_2600037000-99000-200300220100002&ProgramID=624878396&ParentNodeID=-99&assertID=5500212872&client_ip=218.28.233.106&SecurityKey=20251220080204&promotionId=&mvid=5100001694&mcid=500020&playurlVersion=WX-A1-8.12.1-RELEASE&userid=&jmhm=&videocodec=h264&appCode=miguvideo_android&bean=mgspad&tid=android&conFee=0&encrypt=b0944284b4400e19e2628e1bfad3e275&sv=10004&ct=android
CCTV5,http://61.159.135.98:4022/rtp/238.255.2.134:5999
CCTV6,http://123.191.15.105:1111/rtp/232.0.0.172:1234
CCTV6,http://223.167.230.129:4022/rtp/239.45.1.70:5140
CCTV6,http://115.171.216.99:4000/rtp/225.1.8.84:8000
CCTV6,http://116.235.57.22:4022/rtp/239.45.1.70:5140
CCTV5,http://61.159.134.218:4022/rtp/238.255.2.134:5999
CCTV6,http://go.bkpcp.top/mg/cctv6
CCTV6,P2p://generationnexxxt.com:19806/6ba86ebf6131449da50828be35158d55
CCTV6,http://8.138.7.223/tv/migu3.php?id=cctv6
CCTV6,http://223.167.230.5:4022/rtp/239.45.1.70:5140
CCTV7,http://223.241.247.214:9901/tsfile/live/0007_1.m3u8
CCTV5,http://114.254.35.130:18888/rtp/239.3.1.173:8001
CCTV7,http://hlsztemgsplive.miguvideo.com:8080/migu/kailu/20200324/cctv7hd/50/index.m3u8?msisdn=202512200802042bef6a3d432b4f088263b03b5113bba7&mdspid=&spid=699004&netType=0&sid=5501083622&pid=2028597139&timestamp=20251220080204&Channel_ID=0116_2600037000-99000-200300220100002&ProgramID=673168121&ParentNodeID=-99&assertID=5501083622&client_ip=218.28.233.106&SecurityKey=20251220080204&promotionId=&mvid=5102910278&mcid=500020&playurlVersion=WX-A1-8.12.1-RELEASE&userid=&jmhm=&videocodec=h264&appCode=miguvideo_android&bean=mgspad&tid=android&conFee=0&encrypt=a9371f3bce0b5c60003be4faeddc7d56&sv=10004&ct=android
CCTV5,http://171.113.208.108:4022/rtp/239.69.1.123:10376
CCTV5,http://114.107.45.103:8188/rtp/238.1.78.171:7240
CCTV5,http://111.227.194.26:4022/rtp/239.254.201.153:7206
CCTV5,http://183.220.107.138:4022/rtp/239.11.0.236:5140
CCTV7,http://223.167.230.5:4022/rtp/239.45.3.56:5140
CCTV7,http://123.191.15.105:1111/rtp/232.0.0.136:1234
CCTV7,http://8.138.7.223/tv/migu3.php?id=cctv7
