更新时间,#genre#
20260907-09-33-49,url


RespoTime,whitelist,#genre#
441.51ms,CCTV1,http://113.15.109.216:59901/tsfile/live/0001_1.m3u8?key=txiptv&playlive=1&authid=0
373.89ms,CCTV1,http://39.77.22.26:4002/rtp/239.253.254.77:8000
354.46ms,CCTV1,http://39.77.26.75:4002/rtp/239.253.254.89:8000
378.12ms,CCTV1,http://219.156.94.32:4022/rtp/225.1.4.73:1102
398.99ms,CCTV1,http://115.171.216.32:4000/rtp/225.1.8.33:8002
377.79ms,CCTV1,http://39.77.26.75:4002/rtp/239.253.254.77:8000
398.80ms,CCTV1,http://115.171.216.32:4000/rtp/225.1.8.81:8176
365.75ms,CCTV1,http://60.4.28.19:8077/rtp/239.253.92.83:8012
476.96ms,CCTV1,http://114.254.38.234:8888/rtp/239.3.1.129:8008
427.49ms,CCTV1,http://115.171.216.32:4000/rtp/225.1.8.126:8002
425.21ms,CCTV1,http://120.76.248.139/live/bfgd/4200000488.m3u8
414.66ms,CCTV1,http://115.171.216.32:4000/rtp/225.1.8.210:8068
402.19ms,CCTV1,http://106.59.2.152:55555/rtp/239.200.200.2:8080
401.75ms,CCTV1,http://106.59.2.152:55555/rtp/239.200.200.14:8852
401.36ms,CCTV1,http://106.59.2.152:55555/rtp/239.200.201.45:8800
593.80ms,CCTV1,http://111.59.24.227:8181/tsfile/live/0001_1.m3u8?key=txiptv&playlive=1&authid=0
399.86ms,CCTV1,http://115.171.216.32:4000/rtp/225.1.8.1:8008
474.06ms,CCTV1,http://106.59.2.152:55555/rtp/239.200.200.117:8712
370.49ms,CCTV1,http://114.226.212.189:8787/rtp/239.49.8.19:9614
367.45ms,CCTV1,http://39.77.22.26:4002/rtp/239.253.254.89:8000
425.35ms,CCTV1,http://120.76.248.139/live/bfgd/4200000489.m3u8
476.50ms,CCTV1,http://1.192.242.239:8188/rtp/239.16.20.1:10010
392.65ms,CCTV1,http://204.12.221.218:8181/3m1080p/cctv1.m3u8
455.27ms,CCTV1,http://58.57.40.22:9901/tsfile/live/0001_1.m3u8
443.37ms,CCTV1,http://182.140.125.47:808/hls/1/index.m3u8
529.06ms,CCTV1,http://120.76.248.139/live/bfgd/4200000484.m3u8
423.12ms,CCTV1,http://198.204.228.26/live/cctv1hd.m3u8
539.09ms,CCTV1,http://120.76.248.139/live/bfgd/4200000201.m3u8
522.84ms,CCTV1,http://bztv.tvbus.cc:8081/cdnlive/cctv1.m3u8
331.93ms,CCTV1,http://112.30.73.119:229/tsfile/live/0001_1.m3u8?key=txiptv&playlive=1&authid=0
557.59ms,CCTV1,http://221.7.175.154:8445/tsfile/live/1000_1.m3u8?key=txiptv&playlive=1&authid=0
167.65ms,CCTV1,http://38.75.136.137:98/gslb/dsdqbv/cctv1hd.m3u8?auth=test20251009
969.31ms,CCTV1,http://115.171.216.32:4000/rtp/225.1.8.53:8060
977.63ms,CCTV1,http://114.226.212.189:8787/rtp/239.49.8.129:6000
523.38ms,CCTV1,http://63.141.230.178:82/gslb/zbdq5.m3u8?id=cctv1hd
214.75ms,CCTV1,http://74.91.26.218:82/live/cctv1hd.m3u8
912.47ms,CCTV1,http://www.cdnstv.com:6398/hls/1/index.m3u8
387.21ms,CCTV1,http://221.226.51.220:50081/newlive/live/hls/1/live.m3u8
411.00ms,CCTV1,http://120.198.95.220:9901/tsfile/live/1015_1.m3u8?key=txiptv&playlive=1&down=1
1465.28ms,CCTV1,http://115.171.216.32:4000/rtp/225.1.8.194:4120
1393.15ms,CCTV1,http://183.11.239.36:808/hls/19/index.m3u8
1446.21ms,CCTV1,http://play.kankanlive.com/live/1698234869325962.m3u8
1446.28ms,CCTV1,http://play.kankanlive.com/live/1661761962676984.m3u8
962.25ms,CCTV1,http://120.40.39.246:352/newlive/live/hls/1/live.m3u8
1352.15ms,CCTV1,http://183.129.255.66:8480/hls/1/index.m3u8
612.76ms,CCTV1,http://47.120.5.28:1234/608807420
439.60ms,CCTV1,http://php.jdshipin.com/TVOD/iptv.php?id=rthk33
2592.70ms,CCTV1,http://119.233.255.62:1234/608807420
2583.08ms,CCTV1,http://222.134.19.49:8090/608807420
2325.38ms,CCTV1,http://47.119.24.76:59093/608807420
3359.02ms,CCTV1,http://8.138.7.223/tv/migu3.php?id=cctv1
