更新时间,#genre#
20251220-03-13-04,url


RespoTime,whitelist,#genre#
409.22ms,CCTV1,http://116.235.57.19:4022/rtp/239.45.3.145:5140
427.18ms,CCTV1,http://115.171.80.250:1688/rtp/225.1.8.126:8002
430.85ms,CCTV1,http://115.171.80.250:1688/rtp/225.1.8.33:8002
428.94ms,CCTV1,http://106.59.2.71:55555/rtp/239.200.200.117:8712
433.11ms,CCTV1,http://106.59.2.71:55555/rtp/239.200.200.2:8080
431.50ms,CCTV1,http://115.171.80.250:1688/rtp/225.1.8.210:8068
431.18ms,CCTV1,http://115.171.216.84:4000/rtp/225.1.8.1:8008
442.32ms,CCTV1,http://36.46.98.161:8025/rtp/239.112.205.59:5140
440.91ms,CCTV1,http://106.59.2.71:55555/rtp/239.200.201.45:8800
448.79ms,CCTV1,http://123.191.26.168:1111/rtp/232.0.0.27:1234
465.18ms,CCTV1,http://115.171.216.84:4000/rtp/225.1.8.33:8002
485.22ms,CCTV1,http://115.171.216.84:4000/rtp/225.1.8.126:8002
496.29ms,CCTV1,http://27.191.202.231:19999/rtp/239.254.200.45:8008
498.47ms,CCTV1,http://115.171.80.250:1688/rtp/225.1.8.81:8176
498.69ms,CCTV1,http://115.171.80.250:1688/rtp/225.1.8.194:4120
503.85ms,CCTV1,http://106.83.118.68:8188/rtp/235.254.198.51:1480
500.66ms,CCTV1,http://115.171.216.84:4000/rtp/225.1.8.53:8060
506.04ms,CCTV1,http://180.105.201.157:9981/rtp/239.49.8.19:9614
507.72ms,CCTV1,http://106.118.20.104:8188/rtp/239.254.200.45:8008
512.03ms,CCTV1,http://115.171.80.250:1688/rtp/225.1.8.53:8060
513.90ms,CCTV1,http://115.171.80.250:1688/rtp/225.1.8.1:8008
508.29ms,CCTV1,http://115.171.216.84:4000/rtp/225.1.8.81:8176
511.91ms,CCTV1,http://115.171.216.84:4000/rtp/225.1.8.194:4120
518.40ms,CCTV1,http://180.105.201.157:9981/rtp/239.49.8.129:6000
518.37ms,CCTV1,http://114.100.195.46:4022/rtp/238.1.78.166:7200
527.63ms,CCTV1,http://111.113.89.137:2000/rtp/239.121.4.113:8636
421.93ms,CCTV1,http://115.171.216.39:4000/rtp/225.1.8.33:8002
430.27ms,CCTV1,http://115.171.216.39:4000/rtp/225.1.8.53:8060
429.72ms,CCTV1,http://115.171.216.39:4000/rtp/225.1.8.210:8068
441.15ms,CCTV1,http://115.171.216.39:4000/rtp/225.1.8.126:8002
472.98ms,CCTV1,http://115.171.216.84:4000/rtp/225.1.8.210:8068
381.25ms,CCTV1,http://8.138.7.223/【公众号：榴芒电视】/cctv1.m3u8
471.24ms,CCTV1,http://115.171.216.39:4000/rtp/225.1.8.1:8008
468.17ms,CCTV1,http://115.171.216.39:4000/rtp/225.1.8.81:8176
382.68ms,CCTV1,http://113.57.93.165:9900/tsfile/live/0001_1.m3u8?key=txiptv&playlive=1&authid=0
474.63ms,CCTV1,http://115.171.216.39:4000/rtp/225.1.8.194:4120
383.88ms,CCTV1,http://113.57.93.165:9900/tsfile/live/0001_1.m3u8
400.10ms,CCTV1,http://183.11.239.36:808/hls/19/index.m3u8
409.60ms,CCTV1,http://113.15.109.216:59901/tsfile/live/0001_1.m3u8?key=txiptv&playlive=1&authid=0
444.92ms,CCTV1,http://58.57.40.22:9901/tsfile/live/0001_1.m3u8
459.26ms,CCTV1,https://stream1.freetv.fun/cctv-1gao-qing-2.m3u8
498.70ms,CCTV1,http://112.123.206.32:808/hls/1/index.m3u8
623.64ms,CCTV1,https://stream1.freetv.fun/cctv1-47.m3u8
222.24ms,CCTV1,https://iptv.catvod.com/live.php?id=CCTV-1
668.35ms,CCTV1,http://www.cdnstv.com:6398/hls/1/index.m3u8
751.93ms,CCTV1,https://stream1.freetv.fun/cctv1-62.m3u8
310.19ms,CCTV1,http://112.27.235.94:8000/hls/1/index.m3u8
399.31ms,CCTV1,http://223.198.242.217:4000/rtp/239.253.64.120:5140
656.85ms,CCTV1,http://183.215.134.239:19901/tsfile/live/0001_1.m3u8?key=txiptv&playlive=1&authid=0
665.94ms,CCTV1,http://yp.qqqtv.top/1/api.php?id=CCTV-1%E7%BB%BC%E5%90%88&auth=666858
1194.10ms,CCTV1,https://stream1.freetv.fun/cctv1-74.ctv
831.94ms,CCTV1,http://yp.qqqtv.top/bc/bc.php?id=CCTV-1+%E7%BB%BC%E5%90%88&auth=66615415
860.70ms,CCTV1,https://www.freetv.top/migu/608807420.m3u8?migutoken=5b04cf0d91179ab2d3d71703f0a8bc3d32dd02f7d8fb55ee70e05c216b8a9d1a73d911fbde798459fb66d94934157c996f8306c0dd37917775f2ed73dcc22cf84b25ca500bff5c636ff48d6344
1302.16ms,CCTV1,https://stream1.freetv.fun/cctv1-25.ctv
397.37ms,CCTV1,http://121.235.95.126:8199/rtp/239.49.8.129:6000
1024.65ms,CCTV1,http://php.jdshipin.com/TVOD/iptv.php?id=rthk33
1000.78ms,CCTV1,http://113.90.245.216:85/tsfile/live/0001_1.m3u8?key=txiptv&playlive=1&authid=0
1457.70ms,CCTV1,https://stream1.freetv.fun/cctv1-79.ctv
490.68ms,CCTV1,http://121.29.141.118:4022/rtp/239.253.92.83:8012
