♟️象棋入门,#genre#
♟️入门1基本规则,https://vd3.bdstatic.com/mda-pbdj4fk7xn8uax8u/sc/cae_h264/1676384551816717801/mda-pbdj4fk7xn8uax8u.mp4
♟️入门2基本棋理,https://vd3.bdstatic.com/mda-pbf472r1qj2sj19y/sc/cae_h264/1676517780027081514/mda-pbf472r1qj2sj19y.mp4
♟️入门3马的杀法,https://vd3.bdstatic.com/mda-pbf4ct4neegqv976/sc/cae_h264/1676517948901453539/mda-pbf4ct4neegqv976.mp4
♟️入门4马的杀法,https://vd3.bdstatic.com/mda-pbf77efdh6bew6ec/sc/cae_h264/1676525496383124037/mda-pbf77efdh6bew6ec.mp4
♟️入门5车马炮,https://vd3.bdstatic.com/mda-pbfhbs5phh2yjsyg/sc/cae_h264/1676550621210112682/mda-pbfhbs5phh2yjsyg.mp4
♟️入门6炮的杀法,https://vd3.bdstatic.com/mda-pbg6yf3c4a4s313x/sc/cae_h264/1676612592656265626/mda-pbg6yf3c4a4s313x.mp4
♟️入门7搏杀思路,https://vd3.bdstatic.com/mda-pbgzzf25icwvecnw/sc/cae_h264/1676682713567945221/mda-pbgzzf25icwvecnw.mp4
♟️入门8残棋定式,https://vd3.bdstatic.com/mda-pbh59xkfpfj61g5c/sc/cae_h264/1676693915821036424/mda-pbh59xkfpfj61g5c.mp4
♟️入门9提升残棋,https://vd3.bdstatic.com/mda-pbig8ngrfwkf0hap/sc/cae_h264/1676807443522459542/mda-pbig8ngrfwkf0hap.mp4
♟️入门10残棋难度,https://vd3.bdstatic.com/mda-pbj73hp5xj7d1hd7/sc/cae_h264/1676874342178419463/mda-pbj73hp5xj7d1hd7.mp4
♟️入门11奇怪布局,https://vd3.bdstatic.com/mda-pbjej49mw8217jrr/sc/cae_h264/1676889636059094159/mda-pbjej49mw8217jrr.mp4
♟️入门12布局理论,https://vd3.bdstatic.com/mda-pbne86j9ei5604j2/sc/cae_h264/1677148962116637150/mda-pbne86j9ei5604j2.mp4
♟️入门13常见布局,https://vd3.bdstatic.com/mda-pbkj89fqua2f7g2z/sc/cae_h264/1676988868146488963/mda-pbkj89fqua2f7g2z.mp4
♟️入门14经典拆桥,https://vd3.bdstatic.com/mda-pbm5p2xs4d26ku2y/sc/cae_h264/1677041751787890367/mda-pbm5p2xs4d26ku2y.mp4
♟️入门15智能棋谱,https://vd3.bdstatic.com/mda-pbn7dyu3yzb9mn2u/sc/cae_h264/1677130946247190555/mda-pbn7dyu3yzb9mn2u.mp4
♟️入门16列炮手布局,https://vd3.bdstatic.com/mda-pbb98t59q6t8dc2g/sc/cae_h264/1676184792806204803/mda-pbb98t59q6t8dc2g.mp4
♟️入门18突破瓶颈,https://vd3.bdstatic.com/mda-pbe43isfy96jz7rx/sc/cae_h264/1676432224948942359/mda-pbe43isfy96jz7rx.mp4
♟️入门19惊艳四座,https://vd3.bdstatic.com/mda-pbq7b5kjyefgzbct/sc/cae_h264/1677302841669021544/mda-pbq7b5kjyefgzbct.mp4
♟️↓象棋对弈↓,http://live.dxms.top:80/dwy/news.php$php代理
♟️高手对弈,https://vd3.bdstatic.com/mda-mc7dff8dgkbs01ke/cae_h264_nowatermark/1615192250/mda-mc7dff8dgkbs01ke.mp4
♟️三个原则,https://vd3.bdstatic.com/mda-pai3yc9udvuigxc0/hd/cae_h264/1674098018703166672/mda-pai3yc9udvuigxc0.mp4
♟️大爷懵了,https://vd3.bdstatic.com/mda-qac1c5xghryg1dav/hd/cae_h264/1705478118495596404/mda-qac1c5xghryg1dav.mp4
♟️专破当头炮的传世神谱,https://vd3.bdstatic.com/mda-qd42dud0x5xk73jb/hd/cae_h264/1712438833100938172/mda-qd42dud0x5xk73jb.mp4
♟️残局马炮绝活厉害,https://vd3.bdstatic.com/mda-mc6b6iw4m6bq7m8n/v1-cae/hd/mda-mc6b6iw4m6bq7m8n.mp4
