# 更新标记: 2026-09-01 23:34:44
🌐央视频道,#genre#
CCTV1,http://219.156.94.32:4022/rtp/225.1.4.73:1102
CCTV2,http://219.156.94.32:4022/rtp/225.1.4.74:1103
CCTV3,http://219.156.94.32:4022/rtp/225.1.4.158:1194
CCTV4,http://219.156.94.32:4022/rtp/225.1.5.30:1333
CCTV5,http://219.156.94.32:4022/rtp/225.1.4.159:1195
CCTV6,http://219.156.94.32:4022/rtp/225.1.4.160:1196
CCTV7,http://219.156.94.32:4022/rtp/225.1.4.76:1105
CCTV8,http://219.156.94.32:4022/rtp/225.1.4.161:1197
CCTV9,http://219.156.94.32:4022/rtp/225.1.4.77:1106
CCTV10,http://219.156.94.32:4022/rtp/225.1.4.78:1107
CCTV11,http://219.156.94.32:4022/rtp/225.1.4.215:1268
CCTV12,http://219.156.94.32:4022/rtp/225.1.4.79:1108
CCTV13,http://219.156.94.32:4022/rtp/225.1.4.113:1293
CCTV14,http://219.156.94.32:4022/rtp/225.1.4.80:1109
CCTV15,http://219.156.94.32:4022/rtp/225.1.4.216:1269
CCTV16,http://117.12.151.124:4022/rtp/225.1.2.237:5002
CCTV17,http://219.156.94.32:4022/rtp/225.1.4.226:2506
CCTV4K,http://124.112.189.1:4022/rtp/238.1.78.137:6968
CCTV8K,http://104.152.209.49:8181/720p/cctv8k.m3u8
CCTV5+,http://219.156.94.32:4022/rtp/225.1.4.75:1104
CCTV+1,https://cd-live-stream.news.cctvplus.com/live/smil:CHANNEL1.smil/playlist.m3u8
CCTV+2,https://cd-live-stream.news.cctvplus.com/live/smil:CHANNEL2.smil/playlist.m3u8
CCTV书画,http://183.11.239.36:808/hls/33/index.m3u8
CCTV中视购物,https://raw.githubusercontent.com/ChiSheng9/iptv/master/TV09.m3u8
CCTV中学生,http://8.138.7.223/tv/migu3.php?id=zxs
CCTV老故事,http://8.138.7.223/tv/migu3.php?id=lgs
CCTV发现之旅,http://8.138.7.223/tv/migu3.php?id=fxzl
